"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durSchoolSite","durSchoolOnline","durStudy","mainStudent","mainJobSearch","mainEmployed","mainWorked12m","mainWorkedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone"
10752,5,2,"neverMarried",35,"urban",3,6,2,480,80,195,975,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10761,6,2,"married",48,"urban",4,6,6,520,115,15,170,65,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10765,6,1,"married",24,"urban",2,6,6,530,25,105,110,60,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
10771,6,2,"widowed",35,"urban",2,6,4,600,70,60,1440,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10772,6,1,"married",24,"urban",2,5,3,420,30,140,0,50,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10774,6,1,"married",24,"urban",4,6,6,480,0,60,60,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10781,7,2,"widowed",47,"urban",4,4,6,450,115,120,1185,65,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10783,7,1,"married",59,"urban",1,6,3,630,90,150,420,60,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10786,7,2,"married",46,"rural",1,4,6,545,85,60,410,0,0,0,0,0,NA,2,2,2,2,NA,8,1,1,2,2
10787,5,2,"widowed",35,"urban",4,6,6,470,155,100,1350,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10789,6,2,"divorced",35,"urban",1,5,4,740,10,30,1260,90,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10794,5,1,"married",48,"urban",NA,4,5,265,30,100,410,55,535,0,0,0,NA,NA,NA,2,2,NA,1,NA,1,2,2
10795,6,1,"married",59,"urban",7,6,6,450,90,245,370,70,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10800,6,2,"divorced",35,"urban",2,5,1,510,20,30,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10803,1,1,"neverMarried",12,"urban",2,4,3,605,0,85,20,425,0,0,0,0,NA,1,1,1,2,NA,7,2,2,2,2
10814,6,2,"neverMarried",47,"urban",1,6,6,690,45,75,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10815,7,2,"widowed",59,"urban",2,6,6,475,85,180,1260,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,1
10816,5,1,"commonLaw",24,"urban",3,6,6,405,0,45,540,35,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10818,5,1,"married",35,"urban",2,6,5,600,30,0,1110,0,0,0,0,0,NA,NA,NA,1,1,NA,8,1,1,1,2
10819,5,2,"neverMarried",24,"urban",3,6,4,480,15,130,1205,55,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10837,6,2,"widowed",59,"urban",1,4,6,535,40,140,1320,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10843,6,1,"married",11,"pei",2,6,2,600,0,120,1275,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
