"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
22175,5,2,5,24,1,3,1,6,780,0,20,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2,"QC","Divorced","Trade certificate or diploma",1
22176,4,1,5,35,1,4,1,2,410,10,15,1440,35,750,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,2,"ON","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
22177,4,2,5,24,1,3,2,6,550,30,20,835,35,485,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"QC","Divorced","Trade certificate or diploma",1
22178,2,2,6,24,1,6,1,4,530,90,85,735,55,0,0,0,0,NA,NA,NA,1,1,NA,7,1,1,1,2,"QC","Single, never married","Bachelor's degree",1
22179,4,1,6,24,1,1,6,6,810,10,30,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,1,"QC","Single, never married","Less than high school dimploma or its equivalent",0
22180,1,1,6,10,2,1,1,6,511,0,0,1006,0,565,0,0,0,NA,NA,NA,1,1,1,NA,2,2,1,1,"NL","Single, never married","Less than high school dimploma or its equivalent",1
22181,4,2,6,35,1,4,2,6,570,0,70,480,0,0,0,0,0,NA,2,2,2,2,NA,3,NA,2,1,2,"ON","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
22182,5,2,1,13,2,4,3,6,630,50,0,520,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2,"NB","Married","College, CEGEP, or other non-university certificate or dimploma",1
22183,4,2,1,24,2,3,2,2,470,95,90,460,20,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"QC","Married","Trade certificate or diploma",1
22184,4,2,1,13,2,1,1,1,570,180,0,180,20,0,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2,"NB","Married","Less than high school dimploma or its equivalent",1
22185,7,2,3,24,1,1,2,6,560,0,105,1440,60,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2,"QC","Widowed","Less than high school dimploma or its equivalent",1
22186,6,1,1,59,2,4,5,3,450,20,185,600,40,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"BC","Married","College, CEGEP, or other non-university certificate or dimploma",0
22187,5,2,5,35,1,4,4,6,525,15,120,1125,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Divorced","College, CEGEP, or other non-university certificate or dimploma",0
22188,7,2,3,24,1,4,6,2,750,30,60,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,1,"QC","Widowed","College, CEGEP, or other non-university certificate or dimploma",0
22189,1,2,6,59,1,1,2,1,840,0,0,1020,0,0,0,0,0,NA,1,2,2,2,NA,4,2,2,1,2,"BC","Single, never married","Less than high school dimploma or its equivalent",1
22190,5,2,1,59,1,6,1,5,510,45,50,1135,145,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,1,"BC","Married","Bachelor's degree",1
22191,5,2,1,13,1,2,2,2,530,45,30,400,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"NB","Married","High school diploma or equivalency",1
22192,7,1,6,35,1,2,6,6,480,115,0,1420,145,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2,"ON","Single, never married","High school diploma or equivalency",0
22193,4,2,1,35,1,4,2,6,480,140,0,185,20,425,0,0,65,NA,NA,NA,1,1,NA,8,2,2,1,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
22194,1,1,6,24,1,2,1,4,450,15,65,1290,90,0,190,0,150,1,2,1,1,2,1,3,2,1,2,2,"QC","Single, never married","High school diploma or equivalency",1
22195,5,2,1,59,2,3,1,4,420,90,25,375,20,455,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"BC","Married","Trade certificate or diploma",1
22196,5,2,1,24,1,6,2,2,540,60,180,105,0,0,0,0,0,NA,1,1,1,2,NA,1,2,1,2,2,"QC","Married","Bachelor's degree",1
22197,4,2,6,48,1,4,1,2,360,0,180,725,175,465,0,0,0,NA,NA,NA,1,1,NA,1,1,1,2,2,"AB","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
22198,6,1,1,35,1,2,1,6,405,30,20,435,60,520,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Married","High school diploma or equivalency",1
22199,6,2,3,10,1,2,6,6,425,50,30,1210,70,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NL","Widowed","High school diploma or equivalency",0
22200,2,2,1,35,1,6,1,3,600,165,45,185,20,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1,"ON","Married","Bachelor's degree",1
22201,3,2,1,12,2,7,1,6,440,0,130,235,65,330,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,1,"NS","Married","University certificate, diploma, degree above the BA level",1
22202,7,2,1,24,1,2,6,6,405,210,90,580,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2,"QC","Married","High school diploma or equivalency",0
22203,2,2,6,12,1,3,3,3,645,40,30,1130,20,0,0,0,0,NA,1,1,1,2,NA,3,2,2,2,2,"NS","Single, never married","Trade certificate or diploma",1
22204,7,2,3,24,2,1,5,5,495,90,125,1320,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"QC","Widowed","Less than high school dimploma or its equivalent",0
22205,7,2,3,35,1,2,NA,6,1370,0,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,NA,2,2,"ON","Widowed","High school diploma or equivalency",NA
22206,5,2,5,24,1,4,3,6,570,0,165,1200,30,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"QC","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
22207,2,2,6,12,1,3,2,4,480,0,240,450,60,480,0,0,0,NA,NA,NA,1,1,NA,3,2,1,1,2,"NS","Single, never married","Trade certificate or diploma",1
22208,4,2,1,35,2,4,1,6,420,30,85,715,80,500,0,0,0,NA,NA,NA,1,1,2,2,2,2,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
22209,4,1,1,24,1,4,1,5,390,0,60,1050,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2,"QC","Married","College, CEGEP, or other non-university certificate or dimploma",1
22210,4,2,1,35,1,4,1,6,510,160,30,255,40,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
22211,5,1,1,24,1,1,1,5,320,0,0,285,70,855,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,1,"QC","Married","Less than high school dimploma or its equivalent",1
22212,1,1,6,46,1,6,2,4,515,0,100,385,65,485,0,0,0,NA,NA,NA,1,1,NA,7,2,1,1,2,"MB","Single, never married","Bachelor's degree",1
22213,5,2,6,47,1,5,2,5,480,0,135,1240,40,0,0,0,0,NA,NA,NA,1,1,NA,8,1,2,1,2,"SK","Single, never married","University certificate or dimploma below the bachelor's level",1
22214,3,1,6,46,1,2,6,1,665,15,45,780,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"MB","Single, never married","High school diploma or equivalency",0
22215,6,2,1,24,1,2,1,6,645,120,110,55,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2,"QC","Married","High school diploma or equivalency",1
22216,2,2,2,24,1,4,3,4,630,0,45,720,20,0,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2,"QC","Living common-law","College, CEGEP, or other non-university certificate or dimploma",1
22217,2,2,6,59,1,NA,2,5,455,90,0,870,145,480,270,0,0,NA,NA,NA,2,2,NA,3,2,2,1,2,"BC","Single, never married",NA,1
22218,4,2,1,46,1,NA,2,4,1245,60,0,1380,30,0,0,0,0,NA,NA,NA,2,2,NA,1,1,1,2,2,"MB","Married",NA,1
22219,5,1,1,48,1,2,6,2,420,0,70,175,60,0,0,0,0,NA,NA,1,1,2,NA,1,2,2,2,2,"AB","Married","High school diploma or equivalency",0
22220,7,2,1,46,1,7,3,6,480,100,240,270,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,2,"MB","Married","University certificate, diploma, degree above the BA level",1
22221,4,1,4,24,1,7,1,5,375,0,150,650,0,745,0,0,0,NA,NA,NA,1,1,2,1,2,2,1,2,"QC","Separated","University certificate, diploma, degree above the BA level",1
22222,2,1,1,12,1,7,3,3,510,0,165,1100,30,450,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,1,"NS","Married","University certificate, diploma, degree above the BA level",1
22223,2,2,1,10,1,6,3,6,420,0,15,380,180,500,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2,"NL","Married","Bachelor's degree",1
22224,4,1,5,59,1,7,4,2,420,45,105,495,105,345,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"BC","Divorced","University certificate, diploma, degree above the BA level",0
22225,5,1,1,24,2,4,6,6,525,30,180,585,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"QC","Married","College, CEGEP, or other non-university certificate or dimploma",0
22226,5,1,1,24,1,1,4,3,480,0,245,220,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"QC","Married","Less than high school dimploma or its equivalent",0
